x,y,range,pos_x,pos_y,lat,lon
1937,1088,25,14.040322303771973,-21.15767288208008,-22.91719708572728,-43.16667328403578
2118,836,252,131.25253295898438,-222.1710357666016,-22.918508477656736,-43.164424309288805
1623,1074,26,16.703481674194336,-20.72567749023437,-22.91722688164773,-43.16667811728026
1456,943,52,34.91511917114258,-39.17128753662109,-22.917430636822232,-43.16647174437753
2019,1582,9,4.941473007202148,-7.845466613769531,-22.917095286115543,-43.16682222346595
910,1210,17,13.86849880218506,-11.249628067016602,-22.917195163334103,-43.166784137076895
719,1363,12,10.5767822265625,-7.656092643737793,-22.91715833499918,-43.16682434221701
1337,1154,20,14.205436706542969,-14.843632698059082,-22.917198933057804,-43.1667439266872
1980,1531,9,5.374363899230957,-8.32276439666748,-22.917100129379048,-43.16681688336992
2250,1203,17,8.709990501403809,-16.090330123901367,-22.91713744898749,-43.16672997840542
614,1356,12,11.005038261413574,-7.478514194488525,-22.917163126407043,-43.1668263289976
