x,y,pos_y_real,pos_y_est,precisao_y
2271.0,917.0,-56.95610046386719,-57.761677,98.58561889261722
1059.0,1366.0,-8.492143630981445,-8.505905,99.83794998078534
246.0,1102.0,-12.096195220947266,-12.302034,98.29831485566606
1417.0,1155.0,-15.110109329223633,-14.923653,98.76601369165982
144.0,846.0,-89.15708923339844,-89.16807,99.9876861180363
2712.0,1544.0,-9.531352043151855,-9.467133,99.32622911732003
1227.0,1170.0,-13.767640113830566,-13.617388,98.90865579734917
1820.0,1262.0,-12.749621391296388,-12.628071,99.04663396451492
1986.0,1048.0,-24.90627098083496,-24.654495,98.98910703344195
2341.0,1401.0,-10.962909698486328,-10.876242,99.20944332380725
1499.0,1505.0,-7.685730457305908,-7.6837463,99.97418437419444
2746.0,943.0,-50.30830001831055,-51.38316,97.86345470081595
1542.0,1081.0,-19.80712890625,-19.526731,98.5843611333662
1677.0,1013.0,-27.194896697998047,-26.826504,98.64536001578908
2481.0,1170.0,-18.37581825256348,-18.218168,99.14207905340761
1102.0,1373.0,-8.496711730957031,-8.503602,99.91890631159191
2788.0,1141.0,-21.140491485595703,-21.020452,99.43218450579616
1755.0,832.0,-237.98670959472656,-235.95357,99.1456909113513
497.0,1138.0,-11.883953094482422,-11.98931,99.11345013509101
1698.0,966.0,-35.37765121459961,-34.945522,98.77852573188446
1580.0,851.0,-124.67605590820312,-124.9259,99.79960273022004
1304.0,1201.0,-12.953664779663086,-12.818342,98.95533369820382
1230.0,1115.0,-16.253021240234375,-16.034868,98.65776955155948
354.0,1087.0,-13.29947280883789,-13.463388,98.76750276863345
959.0,1191.0,-11.992775917053224,-11.95494,99.68450944893166
1365.0,1515.0,-7.316003799438477,-7.327414,99.84403730955528
619.0,1290.0,-8.514362335205078,-8.608804,98.8907987449759
1870.0,1401.0,-9.886353492736816,-9.824414,99.37348750934854
631.0,1130.0,-12.780202865600586,-12.832436,99.59129958374791
2510.0,1289.0,-13.959641456604004,-13.832407,99.08855496526276
1585.0,1279.0,-11.617144584655762,-11.518038,99.14689201022637
378.0,963.0,-24.009885787963867,-24.250305,98.9986650084862
850.0,1318.0,-8.700020790100098,-8.745843,99.47330995338736
2102.0,962.0,-39.46080780029297,-39.37763,99.78920990594537
302.0,1406.0,-6.108118057250977,-6.279072,97.20120421694516
194.0,984.0,-19.654090881347656,-20.001287,98.23346406060942
1483.0,905.0,-54.78669738769531,-53.88557,98.35520864636996
2794.0,1467.0,-10.802002906799316,-10.71638,99.20734341386179
2567.0,1226.0,-16.216154098510742,-16.072662,99.11513084962424
1671.0,1144.0,-16.612010955810547,-16.409521,98.78106357235187
458.0,1400.0,-6.546581268310547,-6.6883264,97.83482271623585
2156.0,1454.0,-9.681194305419922,-9.620171,99.36966752000794
1067.0,1183.0,-12.6674165725708,-12.586974,99.36496579134334
734.0,1287.0,-8.91311264038086,-8.978636,99.2648679509989
